index,Tweet ID,Date Created,Tweet,Clean_tweet,Polarity,Subjectivity,Retweets,Favorites,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
0,1451613145223598093,2021-10-22,"RT @Missourinet: New Roy Blunt health research center open for business, NIH director ""grateful"" for Blunt's influence https://t.co/P2lsRJD…",Blunt health research center open business director grateful Blunt influence lsRJD,-0.05,0.3,2,0,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
1,1451612987475824660,2021-10-22,“What they’re really doing is working hard to pack $4 trillion in new programs into a $2 trillion disguise that sounds less radical than it is.” https://t.co/A2uZoWcwT3,What they really doing working hard pack trillion programs into trillion disguise that sounds less radical than uZoWcwT,-0.0861111111111111,0.26944444444444443,9,17,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
2,1451610047038070784,2021-10-22,"Under the Democrats’ proposal, the IRS could spy on Americans’ individual transactions.

This is an extreme invasion of privacy.",Under Democrats proposal could Americans individual transactions This extreme invasion privacy,-0.0625,0.7,13,40,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
3,1451585583059509248,2021-10-22,"Empty shelves. 
Rising costs.
Gas prices at a 7-year-high. 

President Biden’s economic crisis is costing American families. https://t.co/6rSuI80ETZ",Empty shelves Rising costs prices year high President Biden economic crisis costing American families rSuI,0.065,0.31,10,14,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
4,1451569029928337413,2021-10-22,My friend @SenStabenow has been an incredible advocate for mental health. Her tireless work to expand access to mental health care has changed lives and it's an honor to work with her on this significant effort https://t.co/StBUYjT0fs,friend been incredible advocate mental health tireless work expand access mental health care changed lives honor work with this significant effort StBUYjT,0.26875000000000004,0.54375,2,7,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
5,1451259051300564992,2021-10-21,RT @MissouriBHC: Was great spending some time with @RoyBlunt  this morning talking about how important the #CCBHC program has been in respo…,great spending some time with this morning talking about important #CCBHC program been respo,0.6000000000000001,0.875,5,0,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
6,1450945769947770885,2021-10-20,Always great to catch up with @MayorLucasKC and discuss how we can continue working together to advance KCMO’s priorities. It’s an exciting time for Kansas City. https://t.co/dQm4iVSEEU,Always great catch with discuss continue working together advance KCMO priorities exciting time Kansas City iVSEEU,0.55,0.775,8,64,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
7,1450945442808745990,2021-10-20,"Soaring prices for everyday items. 
Highest gas prices since 2014. 
Inflation. 
This is President Biden’s economy.",Soaring prices everyday items Highest prices since Inflation This President Biden economy,-0.2,0.6,8,42,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
8,1450936043214028800,2021-10-20,"RT @Mizzou: ""With that increased image clarity that we get, we can actually see and measure changes in those very small structures of the b…",With that increased image clarity that actually measure changes those very small structures,-0.1625,0.31,3,0,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
9,1450936028810854406,2021-10-20,"RT @MissouriTimes: The UM Board unanimously voted to name the facility after U.S. Senator @RoyBlunt last month, noting his contributions to…",Board unanimously voted name facility after Senator last month noting contributions,0.0,0.06666666666666667,3,0,en,21269970,Senator Roy Blunt,RoyBlunt,126755,6606,Missouri,True
